allele1,allele2,direction,n_continents,or_cmh,log2_or,p_one_sided,qval,score
A16G1R1-IIa,A18G3R1-IIa,co-occur,1,1.9813664596273293,0.9864957356502525,0.2920525869759576,0.4192762215054601,0.5345389424651801
A16G1R1-IIa,A16G2R1-IIa,co-occur,1,1.9813664596273293,0.9864957356502525,0.2920525869759576,0.4192762215054601,0.5345389424651801
A17G2R2-IIa,A19G2R1-IIa,co-occur,1,2.082125603864734,1.0580571015897728,0.29916136374722335,0.4192762215054601,0.5240944956834465
A16G3R1-IIa,A5G3-IIc,co-occur,2,1.0181131650927808,0.025897928451279563,0.3011259867894737,0.4192762215054601,0.5212517638088063
A16G2R1-IIa,A5G3-IIc,co-occur,2,4.458409228901032,2.156529044908517,0.31820989040028685,0.4192762215054601,0.49728632601088585
A19G2R1-IIa,A5G3-IIc,co-occur,1,2.68944099378882,1.427306336612108,0.3191195168992188,0.4192762215054601,0.4960466341567349
A16G3R2-IIa,A18G3R1-IIa,co-occur,1,2.6484848484848484,1.4051672552547825,0.3198913212406411,0.4192762215054601,0.49499754231172866
A18G2R1-IIa,A19G1R1-IIa,co-occur,1,2.7948717948717947,1.482782105914678,0.3221216728807431,0.4192762215054601,0.491980054143782
A13G2R1-IIa,A18G2R1-IIa,co-occur,1,2.7948717948717947,1.482782105914678,0.3221216728807431,0.4192762215054601,0.491980054143782
A16G2R1-IIa,A18G2R1-IIa,co-occur,2,4.314799810008102,2.109293625497313,0.3246385907178385,0.4192762215054601,0.4885998556138177
A17G2R1-IIa,A22G1-IId,co-occur,1,3.1142857142857143,1.6389013078319599,0.3294024935112635,0.4192762215054601,0.48227311763109887
A17G2R1-IIa,A20G1R1-IIa,co-occur,1,3.1142857142857143,1.6389013078319599,0.3294024935112635,0.4192762215054601,0.48227311763109887
A17G1-IId,A17G2R1-IIa,co-occur,1,3.1142857142857143,1.6389013078319599,0.3294024935112635,0.4192762215054601,0.48227311763109887
A17G2R1-IIa,A5G3-IIc,co-occur,2,1.1444119649221158,0.19460648634902575,0.3294627062448948,0.4192762215054601,0.48219373854706504
A17G2R1-IIa,A18G2R1-IIa,co-occur,2,2.141981692136811,1.0989461491935337,0.3322949225352978,0.4192762215054601,0.4784762946880335
